metric,count,mean,median,std,min,p10,p25,p75,p90,max,win_rate,tie_rate,loss_rate,mean_ci_low,mean_ci_high
delta_score,12146,0.0012059405503942373,0.0,0.15349665958912576,-1.0,-0.025738539607343403,-0.00336727696794617,0.009042752213121619,0.029998151959689467,1.0,0.3504034249958834,0.3648937921949613,0.2847027828091553,-0.0014790203687992047,0.003900330550725237
delta_oracle_score,12146,-0.000665831455701423,0.0,0.047759853443225316,-1.0,0.0,0.0,0.0,0.0,1.0,0.07599209616334596,0.8557549810637247,0.06825292277292935,-0.0014979632220079226,0.000196379563180888
delta_ranking_ability,12146,0.0018717720060956598,0.0,0.1520092004954598,-1.0,-0.027119463079926603,-0.0042133670405379,0.009252342146055425,0.0313413325423747,1.0,0.3478511444096822,0.3621768483451342,0.2899720072451836,-0.0008614247838604613,0.004735997490806005
delta_selected_no_at_fault_collisions,12146,0.0007409846863164828,0.0,0.09709376365631726,-1.0,0.0,0.0,0.0,0.0,1.0,0.005433887699654207,0.989955540918821,0.004610571381524782,-0.0008644821340358966,0.002469948954388276
delta_selected_drivable_area_compliance,12146,-8.233163181294254e-05,0.0,0.12275146601939597,-1.0,0.0,0.0,0.0,0.0,1.0,0.00749217849497777,0.9849333113782315,0.007574510126790713,-0.0022229540589494483,0.0020582907953235635
delta_selected_ego_progress,12146,0.004822638369034355,0.0,0.1494338947735466,-1.0,-0.05525538465797719,-0.006058864585671897,0.02052146613794653,0.06794441183587269,1.0,0.34719249135517866,0.37526757780339204,0.27753993084142925,0.002159823371268215,0.007488792953861596
delta_selected_time_to_collision_within_bound,12146,-0.0014819693726329656,0.0,0.1697534900671524,-1.0,0.0,0.0,0.0,0.0,1.0,0.01366705088094846,0.9711839288654701,0.015149020253581426,-0.004528239749711839,0.0014819693726329656
delta_selected_comfort,12146,-0.00041165815906471265,0.0,0.0202860192731388,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995883418409353,0.00041165815906471265,-0.0008233163181294253,-8.233163181294254e-05
delta_selected_driving_direction_compliance,12146,0.001852461715791207,0.0,0.10782795851836166,-1.0,0.0,0.0,0.0,0.0,1.0,0.01720731104890499,0.9687963115428948,0.013996377408200231,-8.233163181294254e-05,0.003746089247488885
