token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
7da6ba784b8b5ff0,True,1.0,1.0,0.9476656829970378,1.0,1.0,1.0,0.9781940345820991
ce28bbe99d7f5f43,True,1.0,1.0,0.9594617036800631,1.0,1.0,1.0,0.9831090432000263
1198cf572c315f9c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bc88b69c56ec5a0f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
deb455f53c805643,True,1.0,1.0,0.7695978639631993,1.0,1.0,1.0,0.9039991099846664
3b1e0182cb145b8d,True,1.0,1.0,0.860548158129856,1.0,1.0,1.0,0.94189506588744
25d6781d5063561a,True,1.0,1.0,0.8807817699786716,1.0,1.0,1.0,0.9503257374911133
7755fb23f28f5b2f,True,1.0,1.0,0.822255002089516,1.0,1.0,1.0,0.9259395842039649
52a862ac6c845dbb,True,1.0,1.0,0.786808484617265,1.0,1.0,1.0,0.9111702019238604
0beacadfbc4553ea,True,1.0,1.0,0.8064752984958831,1.0,1.0,1.0,0.9193647077066179
f985ec5a35285901,True,1.0,1.0,0.8085699806088676,1.0,1.0,1.0,0.9202374919203615
c3ed0328b37b586b,True,1.0,1.0,0.8057201633079022,1.0,1.0,1.0,0.9190500680449593
19d7afdb02055502,True,1.0,1.0,0.7972675793043599,1.0,1.0,1.0,0.9155281580434833
6a5c90faa1cc5f03,True,1.0,1.0,0.7780250453329842,1.0,1.0,1.0,0.9075104355554101
df5915c3464e569e,True,1.0,1.0,0.776554366348551,1.0,1.0,1.0,0.9068976526452296
f154d2accd365815,True,1.0,1.0,0.7682356453983662,1.0,1.0,1.0,0.9034315189159859
bc8d49758c6b5612,True,1.0,1.0,0.7634843593929725,1.0,1.0,1.0,0.9014518164137385
1b963a72d0cf5320,True,1.0,1.0,0.762887765643147,1.0,1.0,1.0,0.9012032356846446
08ca490a89c4544e,True,1.0,1.0,0.7619210557540042,1.0,1.0,1.0,0.9008004398975018
ba13a6004a0c5f8d,True,1.0,1.0,0.7183003223747954,1.0,1.0,1.0,0.8826251343228314
average,True,1.0,1.0,0.828728012370872,1.0,1.0,1.0,0.9286366718211969
